4.500000000000000000e+02,3.000000000000000000e+02,2.500000000000000000e-01
5.000000000000000000e+02,3.000000000000000000e+02,3.599999999999999867e-01
6.000000000000000000e+02,3.000000000000000000e+02,5.600000000000000533e-01
6.000000000000000000e+02,4.000000000000000000e+02,5.799999999999999600e-01
7.000000000000000000e+02,3.000000000000000000e+02,6.700000000000000400e-01
7.000000000000000000e+02,4.000000000000000000e+02,6.999999999999999556e-01
7.000000000000000000e+02,5.000000000000000000e+02,6.899999999999999467e-01
8.000000000000000000e+02,3.000000000000000000e+02,7.199999999999999734e-01
8.000000000000000000e+02,4.000000000000000000e+02,7.600000000000000089e-01
8.000000000000000000e+02,5.000000000000000000e+02,7.700000000000000178e-01
8.000000000000000000e+02,6.000000000000000000e+02,7.500000000000000000e-01
9.000000000000000000e+02,3.000000000000000000e+02,7.600000000000000089e-01
9.000000000000000000e+02,4.000000000000000000e+02,7.900000000000000355e-01
9.000000000000000000e+02,5.000000000000000000e+02,8.100000000000000533e-01
9.000000000000000000e+02,6.000000000000000000e+02,8.000000000000000444e-01
9.000000000000000000e+02,7.000000000000000000e+02,7.800000000000000266e-01
1.000000000000000000e+03,3.000000000000000000e+02,7.700000000000000178e-01
1.000000000000000000e+03,4.000000000000000000e+02,8.100000000000000533e-01
1.000000000000000000e+03,5.000000000000000000e+02,8.299999999999999600e-01
1.000000000000000000e+03,6.000000000000000000e+02,8.299999999999999600e-01
1.000000000000000000e+03,7.000000000000000000e+02,8.299999999999999600e-01
1.000000000000000000e+03,8.000000000000000000e+02,8.000000000000000444e-01
1.100000000000000000e+03,3.000000000000000000e+02,7.900000000000000355e-01
1.100000000000000000e+03,4.000000000000000000e+02,8.299999999999999600e-01
1.100000000000000000e+03,5.000000000000000000e+02,8.399999999999999689e-01
1.100000000000000000e+03,6.000000000000000000e+02,8.499999999999999778e-01
1.100000000000000000e+03,7.000000000000000000e+02,8.499999999999999778e-01
1.100000000000000000e+03,8.000000000000000000e+02,8.399999999999999689e-01
1.100000000000000000e+03,9.000000000000000000e+02,8.100000000000000533e-01
1.200000000000000000e+03,3.000000000000000000e+02,7.900000000000000355e-01
1.200000000000000000e+03,4.000000000000000000e+02,8.299999999999999600e-01
1.200000000000000000e+03,5.000000000000000000e+02,8.499999999999999778e-01
1.200000000000000000e+03,6.000000000000000000e+02,8.599999999999999867e-01
1.200000000000000000e+03,7.000000000000000000e+02,8.599999999999999867e-01
1.200000000000000000e+03,8.000000000000000000e+02,8.599999999999999867e-01
1.200000000000000000e+03,9.000000000000000000e+02,8.499999999999999778e-01
